fraction_removed,nodes_remaining,largest_scc_size,APL,strategy
0.04999403412480611,7962,6522,26.131693957309437,initial_degree
0.09998806824961222,7543,2593,47.06594692857789,initial_degree
0.14998210237441834,7124,619,39.336378750568564,initial_degree
0.19997613649922444,6705,309,25.808893372000167,initial_degree
0.24997017062403054,6286,119,22.413829938755164,initial_degree
0.29996420474883667,5867,53,16.289187227866474,initial_degree
0.34995823887364275,5448,19,9.052631578947368,initial_degree
0.3999522729984489,5029,9,4.5,initial_degree
0.449946307123255,4610,9,4.5,initial_degree
0.4999403412480611,4191,9,4.5,initial_degree
0.5499343753728672,3772,9,4.5,initial_degree
0.5999284094976733,3353,2,1.0,initial_degree
0.6499224436224794,2934,2,1.0,initial_degree
0.6999164777472855,2515,2,1.0,initial_degree
0.7499105118720917,2096,2,1.0,initial_degree
0.7999045459968978,1677,2,1.0,initial_degree
0.8498985801217038,1258,2,1.0,initial_degree
0.89989261424651,839,2,1.0,initial_degree
0.9498866483713161,420,2,1.0,initial_degree
0.9998806824961222,1,1,0.0,initial_degree
1.0,0,0,,initial_degree
