mode,strategy,AUC_percent
METRO_LISBOA,random,18.47999999999998
METRO_LISBOA,initial_degree,11.799999999999994
METRO_LISBOA,initial_betweenness,11.799999999999992
METRO_LISBOA,recalc_degree,7.400000000000004
METRO_LISBOA,recalc_betweenness,6.8800000000000034
CARRIS,random,17.1437807183364
CARRIS,initial_degree,8.462117202268137
CARRIS,initial_betweenness,10.063137996218996
CARRIS,recalc_degree,7.204007561436419
CARRIS,recalc_betweenness,4.458223062381389
TST,random,14.15134218899326
TST,initial_degree,4.935016824468365
TST,initial_betweenness,5.726692981638159
TST,recalc_degree,4.3006537913822696
TST,recalc_betweenness,1.812370839493305
RODOVIARIA_LISBOA,random,14.043531244697194
RODOVIARIA_LISBOA,initial_degree,5.445981869694489
RODOVIARIA_LISBOA,initial_betweenness,6.3235791671165575
RODOVIARIA_LISBOA,recalc_degree,5.00663818059398
RODOVIARIA_LISBOA,recalc_betweenness,2.048426324422221
FERTAGUS,random,26.02040816326531
FERTAGUS,initial_degree,28.571428571428573
FERTAGUS,initial_betweenness,22.448979591836743
FERTAGUS,recalc_degree,17.85714285714287
FERTAGUS,recalc_betweenness,19.387755102040817
SULFERTAGUS,random,2.0169242353616084
SULFERTAGUS,initial_degree,0.7377460647567111
SULFERTAGUS,initial_betweenness,5.514719064864351
SULFERTAGUS,recalc_degree,0.6516906307146156
SULFERTAGUS,recalc_betweenness,0.493922334970774
TRANSTEJO,random,23.456790123456795
TRANSTEJO,initial_degree,19.75308641975309
TRANSTEJO,initial_betweenness,19.75308641975309
TRANSTEJO,recalc_degree,13.58024691358025
TRANSTEJO,recalc_betweenness,19.75308641975309
