trip_id,start_time,end_time,headway_secs,exact_times
28292762,19:51:00,19:59:00,480,1
28292755,17:27:00,17:28:00,60,1
28292757,17:53:00,17:54:00,60,1
28292758,18:17:00,18:19:00,120,1
28292759,18:41:00,18:45:00,240,1
28292760,19:04:00,19:11:00,420,1
28292761,19:28:00,19:36:00,480,1
28292749,15:43:00,15:44:00,60,1
28292750,15:57:00,16:09:00,720,1
28292751,16:10:00,16:23:00,780,1
28292752,16:35:00,16:36:00,60,1
28292753,16:49:00,17:01:00,720,1
28292754,17:02:00,17:15:00,780,1
28292743,13:59:00,14:00:00,60,1
28292744,14:13:00,14:25:00,720,1
28292745,14:26:00,14:39:00,780,1
28292746,14:51:00,14:52:00,60,1
28292747,15:05:00,15:17:00,720,1
28292748,15:18:00,15:31:00,780,1
28292737,12:15:00,12:16:00,60,1
28292738,12:29:00,12:41:00,720,1
28292739,12:42:00,12:55:00,780,1
28292740,13:07:00,13:08:00,60,1
28292741,13:21:00,13:33:00,720,1
28292742,13:34:00,13:47:00,780,1
28292731,10:07:00,10:12:00,300,1
28292732,10:32:00,10:36:00,240,1
28292733,10:57:00,11:00:00,180,1
28292734,11:23:00,11:24:00,60,1
28292735,11:37:00,11:49:00,720,1
28292736,11:50:00,12:03:00,780,1
28292727,08:00:00,08:27:00,1620,1
28292728,08:52:00,09:00:00,480,1
28292729,09:17:00,09:24:00,420,1
28292730,09:42:00,09:48:00,360,1
28292186,16:35:00,16:36:00,60,1
28292189,16:49:00,17:01:00,720,1
28292192,17:02:00,17:15:00,780,1
28292195,17:27:00,17:28:00,60,1
28292201,17:53:00,17:54:00,60,1
28292204,18:17:00,18:19:00,120,1
28292168,14:51:00,14:52:00,60,1
28292171,15:05:00,15:17:00,720,1
28292174,15:18:00,15:31:00,780,1
28292177,15:43:00,15:44:00,60,1
28292180,15:57:00,16:09:00,720,1
28292183,16:10:00,16:23:00,780,1
28292150,13:07:00,13:08:00,60,1
28292153,13:21:00,13:33:00,720,1
28292156,13:34:00,13:47:00,780,1
28292159,13:59:00,14:00:00,60,1
28292162,14:13:00,14:25:00,720,1
28292165,14:26:00,14:39:00,780,1
28292132,11:23:00,11:24:00,60,1
28292135,11:37:00,11:49:00,720,1
28292138,11:50:00,12:03:00,780,1
28292141,12:15:00,12:16:00,60,1
28292144,12:29:00,12:41:00,720,1
28292147,12:42:00,12:55:00,780,1
28292114,08:52:00,09:00:00,480,1
28292117,09:17:00,09:24:00,420,1
28292120,09:42:00,09:48:00,360,1
28292123,10:07:00,10:12:00,300,1
28292126,10:32:00,10:36:00,240,1
28292129,10:57:00,11:00:00,180,1
28292111,08:00:00,08:27:00,1620,1
28292207,18:41:00,18:45:00,240,1
28292210,19:04:00,19:11:00,420,1
28292213,19:28:00,19:36:00,480,1
28292216,19:51:00,19:59:00,480,1
28292228,08:00:00,08:27:00,1620,1
28292303,16:35:00,16:36:00,60,1
28292306,16:49:00,17:01:00,720,1
28292309,17:02:00,17:15:00,780,1
28292312,17:27:00,17:28:00,60,1
28292318,17:53:00,17:54:00,60,1
