service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
24516415,1,1,1,1,1,0,0,20190102,20200102
24516416,1,1,1,1,1,0,0,20190102,20200102
24516417,1,1,1,1,1,0,0,20190102,20200102
24516418,1,1,1,1,1,0,0,20190102,20200102
24516419,1,1,1,1,1,0,0,20190102,20200102
24516420,1,1,1,1,1,0,0,20190102,20200102
24516422,1,1,1,1,1,0,0,20190102,20200102
24516423,1,1,1,1,1,0,0,20190102,20200102
24516421,1,1,1,1,1,0,0,20190102,20200102
24516424,1,1,1,1,1,0,0,20190102,20200102
24516426,1,1,1,1,1,0,0,20190102,20200102
24516427,1,1,1,1,1,0,0,20190102,20200102
24516429,1,1,1,1,1,0,0,20190102,20200102
24516431,1,1,1,1,1,0,0,20190102,20200102
24516433,1,1,1,1,1,0,0,20190102,20200102
24516435,1,1,1,1,1,0,0,20190102,20200102
24516438,1,1,1,1,1,0,0,20190102,20200102
24516440,1,1,1,1,1,0,0,20190102,20200102
24516442,1,1,1,1,1,0,0,20190102,20200102
24516444,1,1,1,1,1,0,0,20190102,20200102
24516446,1,1,1,1,1,0,0,20190102,20200102
24516449,1,1,1,1,1,0,0,20190102,20200102
24516453,1,1,1,1,1,0,0,20190102,20200102
24516451,1,1,1,1,1,0,0,20190102,20200102
24516452,1,1,1,1,1,0,0,20190102,20200102
24516450,1,1,1,1,1,0,0,20190102,20200102
24516447,1,1,1,1,1,0,0,20190102,20200102
24516448,1,1,1,1,1,0,0,20190102,20200102
24516445,1,1,1,1,1,0,0,20190102,20200102
24516443,1,1,1,1,1,0,0,20190102,20200102
24516441,1,1,1,1,1,0,0,20190102,20200102
24516439,1,1,1,1,1,0,0,20190102,20200102
24516436,1,1,1,1,1,0,0,20190102,20200102
24516437,1,1,1,1,1,0,0,20190102,20200102
24516434,1,1,1,1,1,0,0,20190102,20200102
24516432,1,1,1,1,1,0,0,20190102,20200102
24516430,1,1,1,1,1,0,0,20190102,20200102
24516428,1,1,1,1,1,0,0,20190102,20200102
24516425,1,1,1,1,1,0,0,20190102,20200102
24516454,1,1,1,1,1,0,0,20190102,20200102
24516455,1,1,1,1,1,0,0,20190102,20200102
24516457,1,1,1,1,1,0,0,20190102,20200102
24516459,1,1,1,1,1,0,0,20190102,20200102
24516460,1,1,1,1,1,0,0,20190102,20200102
24516461,1,1,1,1,1,0,0,20190102,20200102
24516463,1,1,1,1,1,0,0,20190102,20200102
24516465,1,1,1,1,1,0,0,20190102,20200102
24516467,1,1,1,1,1,0,0,20190102,20200102
24516469,1,1,1,1,1,0,0,20190102,20200102
24516471,1,1,1,1,1,0,0,20190102,20200102
24516473,1,1,1,1,1,0,0,20190102,20200102
24516475,1,1,1,1,1,0,0,20190102,20200102
24516477,1,1,1,1,1,0,0,20190102,20200102
24516496,1,1,1,1,1,0,0,20190102,20200102
24516479,1,1,1,1,1,0,0,20190102,20200102
24516481,1,1,1,1,1,0,0,20190102,20200102
24516483,1,1,1,1,1,0,0,20190102,20200102
24516484,1,1,1,1,1,0,0,20190102,20200102
24516486,1,1,1,1,1,0,0,20190102,20200102
24516488,1,1,1,1,1,0,0,20190102,20200102
24516490,1,1,1,1,1,0,0,20190102,20200102
24516492,1,1,1,1,1,0,0,20190102,20200102
24516494,1,1,1,1,1,0,0,20190102,20200102
24516458,1,1,1,1,1,0,0,20190102,20200102
24516456,1,1,1,1,1,0,0,20190102,20200102
24516462,1,1,1,1,1,0,0,20190102,20200102
24516470,1,1,1,1,1,0,0,20190102,20200102
24516468,1,1,1,1,1,0,0,20190102,20200102
24516466,1,1,1,1,1,0,0,20190102,20200102
24516464,1,1,1,1,1,0,0,20190102,20200102
24516476,1,1,1,1,1,0,0,20190102,20200102
24516474,1,1,1,1,1,0,0,20190102,20200102
24516472,1,1,1,1,1,0,0,20190102,20200102
24516495,1,1,1,1,1,0,0,20190102,20200102
24516493,1,1,1,1,1,0,0,20190102,20200102
24516491,1,1,1,1,1,0,0,20190102,20200102
24516489,1,1,1,1,1,0,0,20190102,20200102
24516487,1,1,1,1,1,0,0,20190102,20200102
24516485,1,1,1,1,1,0,0,20190102,20200102
24516482,1,1,1,1,1,0,0,20190102,20200102
24516480,1,1,1,1,1,0,0,20190102,20200102
24516478,1,1,1,1,1,0,0,20190102,20200102
24516497,1,1,1,1,1,0,0,20190102,20200102
24516498,1,1,1,1,1,0,0,20190102,20200102
24516499,1,1,1,1,1,0,0,20190102,20200102
24516500,1,1,1,1,1,0,0,20190102,20200102
24516501,1,1,1,1,1,0,0,20190102,20200102
24516502,1,1,1,1,1,0,0,20190102,20200102
24516503,1,1,1,1,1,0,0,20190102,20200102
24516504,1,1,1,1,1,0,0,20190102,20200102
24516505,1,1,1,1,1,0,0,20190102,20200102
24516506,1,1,1,1,1,0,0,20190102,20200102
24516507,1,1,1,1,1,0,0,20190102,20200102
24516508,1,1,1,1,1,0,0,20190102,20200102
24516509,1,1,1,1,1,0,0,20190102,20200102
24516510,1,1,1,1,1,0,0,20190102,20200102
24516511,1,1,1,1,1,0,0,20190102,20200102
24516512,1,1,1,1,1,0,0,20190102,20200102
24516513,1,1,1,1,1,0,0,20190102,20200102
24516514,1,1,1,1,1,0,0,20190102,20200102
24516515,1,1,1,1,1,0,0,20190102,20200102
24516516,1,1,1,1,1,0,0,20190102,20200102
24516517,1,1,1,1,1,0,0,20190102,20200102
24516518,1,1,1,1,1,0,0,20190102,20200102
24516519,1,1,1,1,1,0,0,20190102,20200102
24516520,1,1,1,1,1,0,0,20190102,20200102
24516521,1,1,1,1,1,0,0,20190102,20200102
24516522,1,1,1,1,1,0,0,20190102,20200102
24516523,1,1,1,1,1,0,0,20190102,20200102
