trip_id,start_time,end_time,headway_secs,exact_times
24516416,07:30:00,10:10:00,2400,1
24516417,11:35:00,12:25:00,3000,1
24516418,13:12:00,14:05:00,3180,1
24516419,14:40:00,15:40:00,3600,1
24516420,16:30:00,18:30:00,2400,1
24516422,19:30:00,20:05:00,2100,1
24516424,06:35:00,07:20:00,2700,1
24516426,07:55:00,08:40:00,2700,1
24516427,09:20:00,10:05:00,2700,1
24516435,12:40:00,13:10:00,1800,1
24516442,15:20:00,15:55:00,2100,1
24516454,04:30:00,05:00:00,1800,1
24516455,05:20:00,06:20:00,1200,1
24516459,07:00:00,07:30:00,900,1
24516460,07:40:00,08:30:00,600,1
24516461,08:45:00,09:15:00,900,1
24516483,16:20:00,16:50:00,900,1
24516486,17:20:00,17:30:00,600,1
24516488,17:50:00,18:00:00,600,1
24516490,18:20:00,18:30:00,600,1
24516472,12:45:00,13:00:00,900,1
24516497,05:00:00,05:30:00,1800,1
24516498,05:50:00,06:10:00,1200,1
24516499,06:55:00,07:40:00,2700,1
24516500,08:10:00,08:30:00,600,1
24516501,08:50:00,09:05:00,900,1
24516502,09:45:00,17:15:00,27000,1
24516503,17:30:00,18:45:00,900,1
24516504,19:15:00,19:35:00,1200,1
24516505,05:10:00,06:00:00,3000,1
24516506,06:20:00,06:50:00,1800,1
24516507,07:15:00,07:55:00,1200,1
24516508,08:10:00,08:50:00,1200,1
24516509,09:20:00,09:45:00,1500,1
24516510,10:50:00,15:50:00,3600,1
24516511,16:15:00,16:45:00,1800,1
24516512,17:10:00,17:40:00,1800,1
24516513,18:00:00,19:20:00,1200,1
24516514,19:45:00,20:15:00,1800,1
24516515,04:50:00,05:30:00,2400,1
24516516,05:55:00,06:25:00,1800,1
24516517,06:50:00,07:10:00,1200,1
24516518,07:25:00,07:40:00,900,1
24516519,08:00:00,08:17:00,1020,1
24516520,08:40:00,09:40:00,1800,1
24516521,10:20:00,15:20:00,3600,1
24516522,16:10:00,17:10:00,1800,1
24516523,17:30:00,18:50:00,1200,1
24516524,19:20:00,19:50:00,1800,1
24516531,06:30:00,07:15:00,900,1
24516532,07:25:00,07:45:00,600,1
24516533,08:00:00,08:40:00,1200,1
24516534,09:05:00,16:35:00,1800,1
24516535,17:00:00,17:35:00,2100,1
24516536,18:00:00,19:00:00,1800,1
24516537,19:35:00,20:10:00,2100,1
24516546,05:10:00,05:50:00,2400,1
24516547,06:10:00,07:10:00,1200,1
24516548,07:25:00,07:35:00,600,1
24516549,07:50:00,10:10:00,1200,1
24516550,10:40:00,16:10:00,1800,1
24516551,16:25:00,19:45:00,1200,1
24516575,19:50:00,20:10:00,1200,1
24516577,21:30:00,22:00:00,1800,1
24516578,22:40:00,24:00:00,2400,1
24516643,21:20:00,22:00:00,2400,1
24516644,22:45:00,23:20:00,2100,1
24516645,24:00:00,25:15:00,4500,1
24516610,21:20:00,22:00:00,2400,1
24516611,22:45:00,23:20:00,2100,1
24516612,24:00:00,25:15:00,4500,1
24516576,20:30:00,21:00:00,1800,1
24516568,16:30:00,17:00:00,1800,1
24516569,17:35:00,17:50:00,900,1
24516566,13:30:00,16:00:00,1800,1
24516555,06:40:00,07:00:00,1200,1
24516564,10:00:00,13:00:00,1800,1
24516561,08:30:00,08:50:00,1200,1
24516562,09:05:00,09:30:00,1500,1
24516668,18:50:00,19:40:00,1500,1
24516669,20:15:00,20:50:00,2100,1
24516666,17:50:00,18:20:00,1800,1
24516653,08:15:00,08:45:00,1800,1
24516659,14:00:00,16:30:00,1800,1
24516655,09:10:00,09:45:00,2100,1
24516656,10:05:00,10:30:00,1500,1
24516657,11:00:00,13:30:00,1800,1
24516741,06:30:00,06:55:00,1500,1
24516742,07:10:00,07:30:00,1200,1
