trip_id,start_time,end_time,headway_secs,exact_times
28040268,05:20:00,06:00:00,2400,1
28040269,06:30:00,09:45:00,900,1
28040270,10:05:00,11:10:00,3900,1
28040271,12:10:00,16:10:00,3600,1
28040272,16:50:00,17:30:00,1200,1
28040273,18:10:00,18:20:00,600,1
28040274,18:40:00,18:50:00,600,1
28040275,19:10:00,19:20:00,600,1
28040276,19:40:00,19:50:00,600,1
28040277,20:10:00,20:25:00,900,1
28040278,21:00:00,21:50:00,3000,1
28040279,22:30:00,23:30:00,1800,1
28040261,06:05:00,09:05:00,1800,1
28040262,10:05:00,12:05:00,3600,1
28040263,12:35:00,14:35:00,1800,1
28040264,15:30:00,16:00:00,1800,1
28040265,17:00:00,19:00:00,3600,1
28040266,19:30:00,20:30:00,1800,1
28040267,21:30:00,23:30:00,3600,1
28040254,07:35:00,09:05:00,1800,1
28040255,10:05:00,13:05:00,3600,1
28040256,13:35:00,14:35:00,1800,1
28040257,15:30:00,16:00:00,1800,1
28040258,17:00:00,19:00:00,3600,1
28040259,19:30:00,20:30:00,1800,1
28040260,21:30:00,23:30:00,3600,1
28040294,05:45:00,06:45:00,1800,1
28040295,07:00:00,09:45:00,900,1
28040296,10:05:00,10:55:00,3000,1
28040297,11:55:00,15:55:00,3600,1
28040298,16:35:00,17:55:00,1200,1
28040299,18:05:00,18:25:00,1200,1
28040300,18:35:00,18:55:00,1200,1
28040301,19:05:00,19:25:00,1200,1
28040302,19:35:00,19:55:00,1200,1
28040303,20:05:00,21:05:00,1200,1
28040304,21:35:00,22:15:00,2400,1
28040305,22:45:00,23:45:00,1800,1
28040287,06:20:00,08:50:00,1800,1
28040288,09:50:00,11:50:00,3600,1
28040289,12:20:00,14:20:00,1800,1
28040290,15:15:00,15:45:00,1800,1
28040291,16:45:00,18:45:00,3600,1
28040292,19:15:00,20:15:00,1800,1
28040293,21:15:00,23:15:00,3600,1
28040280,07:50:00,08:50:00,1800,1
28040281,09:50:00,12:50:00,3600,1
28040282,13:20:00,14:20:00,1800,1
28040283,15:15:00,15:45:00,1800,1
28040284,16:45:00,18:45:00,3600,1
