service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
28038471,1,1,1,1,1,0,0,20210713,20220713
28038472,1,1,1,1,1,0,0,20210713,20220713
28038467,0,0,0,0,0,1,0,20210713,20220713
28038468,0,0,0,0,0,1,0,20210713,20220713
28038469,0,0,0,0,0,1,0,20210713,20220713
28038470,0,0,0,0,0,1,0,20210713,20220713
28038463,0,0,0,0,0,0,1,20210713,20220713
28038464,0,0,0,0,0,0,1,20210713,20220713
28038465,0,0,0,0,0,0,1,20210713,20220713
28038466,0,0,0,0,0,0,1,20210713,20220713
28038481,1,1,1,1,1,0,0,20210713,20220713
28038477,0,0,0,0,0,1,0,20210713,20220713
28038478,0,0,0,0,0,1,0,20210713,20220713
28038479,0,0,0,0,0,1,0,20210713,20220713
28038480,0,0,0,0,0,1,0,20210713,20220713
28038473,0,0,0,0,0,0,1,20210713,20220713
28038474,0,0,0,0,0,0,1,20210713,20220713
28038475,0,0,0,0,0,0,1,20210713,20220713
28038476,0,0,0,0,0,0,1,20210713,20220713
28038522,0,0,0,0,0,1,0,20210713,20220713
28038524,0,0,0,0,0,1,0,20210713,20220713
28038526,0,0,0,0,0,1,0,20210713,20220713
28038528,0,0,0,0,0,1,0,20210713,20220713
28038530,0,0,0,0,0,1,0,20210713,20220713
28038532,0,0,0,0,0,1,0,20210713,20220713
28038534,0,0,0,0,0,1,0,20210713,20220713
28038536,0,0,0,0,0,1,0,20210713,20220713
28038506,0,0,0,0,0,0,1,20210713,20220713
28038508,0,0,0,0,0,0,1,20210713,20220713
28038510,0,0,0,0,0,0,1,20210713,20220713
28038512,0,0,0,0,0,0,1,20210713,20220713
28038514,0,0,0,0,0,0,1,20210713,20220713
28038516,0,0,0,0,0,0,1,20210713,20220713
28038518,0,0,0,0,0,0,1,20210713,20220713
28038520,0,0,0,0,0,0,1,20210713,20220713
28038538,1,1,1,1,1,0,0,20210713,20220713
28038539,1,1,1,1,1,0,0,20210713,20220713
28038540,1,1,1,1,1,0,0,20210713,20220713
28038541,1,1,1,1,1,0,0,20210713,20220713
28038542,1,1,1,1,1,0,0,20210713,20220713
28038543,1,1,1,1,1,0,0,20210713,20220713
28038544,1,1,1,1,1,0,0,20210713,20220713
28038529,0,0,0,0,0,1,0,20210713,20220713
28038527,0,0,0,0,0,1,0,20210713,20220713
28038525,0,0,0,0,0,1,0,20210713,20220713
28038523,0,0,0,0,0,1,0,20210713,20220713
28038535,0,0,0,0,0,1,0,20210713,20220713
28038533,0,0,0,0,0,1,0,20210713,20220713
28038531,0,0,0,0,0,1,0,20210713,20220713
28038519,0,0,0,0,0,0,1,20210713,20220713
28038517,0,0,0,0,0,0,1,20210713,20220713
28038515,0,0,0,0,0,0,1,20210713,20220713
28038513,0,0,0,0,0,0,1,20210713,20220713
28038511,0,0,0,0,0,0,1,20210713,20220713
28038509,0,0,0,0,0,0,1,20210713,20220713
28038507,0,0,0,0,0,0,1,20210713,20220713
28038545,1,1,1,1,1,0,0,20210713,20220713
28038537,0,0,0,0,0,1,0,20210713,20220713
28038521,0,0,0,0,0,0,1,20210713,20220713
28038561,0,0,0,0,0,1,0,20210713,20220713
28038562,0,0,0,0,0,1,0,20210713,20220713
28038564,0,0,0,0,0,1,0,20210713,20220713
28038566,0,0,0,0,0,1,0,20210713,20220713
28038568,0,0,0,0,0,1,0,20210713,20220713
28038570,0,0,0,0,0,1,0,20210713,20220713
28038572,0,0,0,0,0,1,0,20210713,20220713
28038574,0,0,0,0,0,1,0,20210713,20220713
28038546,0,0,0,0,0,0,1,20210713,20220713
28038547,0,0,0,0,0,0,1,20210713,20220713
28038549,0,0,0,0,0,0,1,20210713,20220713
28038551,0,0,0,0,0,0,1,20210713,20220713
28038553,0,0,0,0,0,0,1,20210713,20220713
28038555,0,0,0,0,0,0,1,20210713,20220713
28038557,0,0,0,0,0,0,1,20210713,20220713
28038559,0,0,0,0,0,0,1,20210713,20220713
28038576,1,1,1,1,1,0,0,20210713,20220713
28038577,1,1,1,1,1,0,0,20210713,20220713
28038578,1,1,1,1,1,0,0,20210713,20220713
28038579,1,1,1,1,1,0,0,20210713,20220713
28038580,1,1,1,1,1,0,0,20210713,20220713
28038581,1,1,1,1,1,0,0,20210713,20220713
28038582,1,1,1,1,1,0,0,20210713,20220713
