trip_id,start_time,end_time,headway_secs,exact_times
28038471,08:25:00,18:25:00,3600,1
28038467,08:25:00,10:25:00,3600,1
28038468,12:25:00,13:25:00,3600,1
28038469,15:25:00,17:25:00,7200,1
28038470,18:25:00,19:55:00,5400,1
28038463,08:25:00,10:25:00,3600,1
28038464,12:25:00,13:25:00,3600,1
28038465,15:25:00,17:25:00,7200,1
28038466,18:25:00,19:55:00,5400,1
28038481,08:00:00,19:00:00,3600,1
28038477,08:00:00,10:00:00,3600,1
28038478,12:00:00,13:00:00,3600,1
28038479,15:00:00,17:00:00,7200,1
28038480,18:00:00,19:00:00,3600,1
28038473,08:00:00,10:00:00,3600,1
28038474,12:00:00,13:00:00,3600,1
28038475,15:00:00,17:00:00,7200,1
28038476,18:00:00,19:00:00,3600,1
28038522,07:15:00,09:15:00,1800,1
28038524,10:15:00,11:20:00,3900,1
28038528,15:00:00,16:35:00,5700,1
28038536,21:30:00,22:30:00,3600,1
28038506,07:15:00,09:15:00,1800,1
28038508,10:15:00,11:20:00,3900,1
28038512,15:00:00,16:35:00,5700,1
28038520,21:30:00,22:30:00,3600,1
28038538,07:15:00,10:15:00,1800,1
28038539,11:20:00,12:00:00,2400,1
28038540,13:10:00,13:50:00,2400,1
28038541,14:25:00,15:00:00,2100,1
28038542,16:35:00,17:05:00,1800,1
28038543,18:05:00,19:10:00,3900,1
28038544,20:10:00,21:30:00,4800,1
28038525,12:05:00,13:20:00,4500,1
28038509,12:05:00,13:20:00,4500,1
28038545,22:30:00,23:30:00,3600,1
28038561,07:15:00,09:45:00,1800,1
28038574,21:00:00,23:00:00,3600,1
28038546,07:15:00,09:45:00,1800,1
28038559,21:00:00,23:00:00,3600,1
28038576,07:15:00,09:45:00,1800,1
28038577,10:45:00,11:25:00,2400,1
28038578,12:35:00,13:20:00,2700,1
28038579,13:50:00,14:25:00,2100,1
28038580,15:35:00,16:30:00,3300,1
28038581,17:10:00,18:35:00,5100,1
28038582,19:40:00,20:50:00,4200,1
28038567,15:35:00,16:40:00,3900,1
28038563,11:30:00,12:45:00,4500,1
28038552,15:35:00,16:40:00,3900,1
28038548,11:30:00,12:45:00,4500,1
28038583,22:00:00,23:00:00,3600,1
28038586,06:15:00,10:45:00,1800,1
28038587,11:45:00,16:45:00,3600,1
28038588,17:15:00,19:45:00,1800,1
28038585,07:45:00,19:45:00,3600,1
28038584,07:45:00,19:45:00,3600,1
28038592,06:45:00,10:15:00,1800,1
28038593,11:15:00,16:15:00,3600,1
28038594,16:45:00,19:45:00,1800,1
28038591,07:15:00,19:15:00,3600,1
28038590,07:15:00,19:15:00,3600,1
28038617,05:10:00,06:00:00,1500,1
28038618,06:15:00,06:45:00,1800,1
28038606,06:15:00,06:40:00,1500,1
28038615,18:45:00,19:45:00,1800,1
28038604,18:45:00,19:45:00,1800,1
28038595,06:15:00,06:40:00,1500,1
28038613,15:20:00,17:20:00,3600,1
28038610,10:20:00,12:20:00,7200,1
28038599,10:20:00,12:20:00,7200,1
28038602,15:20:00,17:20:00,3600,1
28038621,08:10:00,08:30:00,1200,1
28038622,08:55:00,09:20:00,1500,1
28038623,09:40:00,10:20:00,2400,1
28038624,12:20:00,12:45:00,1500,1
28038635,18:15:00,18:45:00,1800,1
28038646,07:20:00,09:20:00,3600,1
28038647,11:20:00,16:20:00,3600,1
28038640,07:20:00,09:20:00,3600,1
28038641,11:20:00,16:20:00,3600,1
28038662,16:45:00,17:20:00,2100,1
28038663,17:35:00,17:45:00,600,1
28038664,18:00:00,18:20:00,1200,1
28038665,18:45:00,19:00:00,900,1
28038652,05:55:00,06:35:00,2400,1
28038653,06:55:00,07:05:00,600,1
28038654,07:35:00,08:05:00,1800,1
28038655,08:45:00,09:45:00,1800,1
28038656,11:20:00,11:45:00,1500,1
28038657,12:20:00,12:45:00,1500,1
28038658,13:20:00,13:45:00,1500,1
28038659,14:20:00,14:45:00,1500,1
28038660,15:20:00,15:45:00,1500,1
28038651,19:45:00,20:00:00,900,1
28038648,17:20:00,18:20:00,3600,1
28038642,17:20:00,18:20:00,3600,1
28038645,19:45:00,20:00:00,900,1
28038666,19:45:00,20:00:00,900,1
28038675,07:00:00,07:30:00,1800,1
28038676,08:10:00,09:30:00,2400,1
28038679,16:00:00,17:10:00,4200,1
28038669,07:00:00,07:30:00,1800,1
28038670,08:10:00,09:30:00,2400,1
28038673,16:00:00,17:10:00,4200,1
28038681,06:00:00,07:00:00,3600,1
28038682,08:10:00,09:00:00,3000,1
28038683,09:30:00,11:00:00,5400,1
28038684,12:00:00,16:00:00,3600,1
28038685,17:10:00,19:50:00,4800,1
28038678,11:00:00,15:00:00,3600,1
28038672,11:00:00,15:00:00,3600,1
